Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Voltage (V),Voltage (V)
11/18/18 1:30,70.4,0.139,0.006
11/18/18 1:30,70.6,0.135,0.005
11/18/18 1:30,70.8,0.137,0.005
11/18/18 1:30,71,0.142,0.005
11/18/18 1:30,71.2,0.137,0.004
11/18/18 1:30,71.4,0.136,0.005
11/18/18 1:30,71.6,0.125,0.005
11/18/18 1:30,71.8,0.129,0.385
11/18/18 1:30,72,0.139,0.385
11/18/18 1:30,72.2,0.136,0.005
11/18/18 1:30,72.4,0.142,0.005
11/18/18 1:30,72.6,0.143,0.005
11/18/18 1:30,72.8,0.135,0.004
11/18/18 1:30,73,0.141,0.005
11/18/18 1:30,73.2,0.135,0.005
11/18/18 1:30,73.4,0.135,0.004
11/18/18 1:30,73.6,0.137,0.005
11/18/18 1:30,73.8,0.145,0.005
11/18/18 1:30,74,0.135,0.005
11/18/18 1:30,74.2,0.135,0.005
11/18/18 1:30,74.4,0.13,0.004
11/18/18 1:30,74.6,0.129,0.005
11/18/18 1:30,74.8,0.131,0.005
11/18/18 1:30,75,0.131,0.005
11/18/18 1:30,75.2,0.127,0.005
11/18/18 1:30,75.4,0.129,0.005
11/18/18 1:30,75.6,0.129,0.004
11/18/18 1:30,75.8,0.135,0.004
11/18/18 1:30,76,0.135,0.005
11/18/18 1:30,76.2,0.141,0.005
11/18/18 1:30,76.4,0.143,0.005
11/18/18 1:30,76.6,0.151,0.005
11/18/18 1:30,76.8,0.15,0.005
11/18/18 1:31,77,0.154,0.005
11/18/18 1:31,77.2,0.145,0.004
11/18/18 1:31,77.4,0.146,0.005
11/18/18 1:31,77.6,0.145,0.005
11/18/18 1:31,77.8,0.149,0.005
11/18/18 1:31,78,0.147,0.004
11/18/18 1:31,78.2,0.146,0.005
11/18/18 1:31,78.4,0.139,0.005
11/18/18 1:31,78.6,0.144,0.005
11/18/18 1:31,78.8,0.15,0.005
11/18/18 1:31,79,0.15,0.005
11/18/18 1:31,79.2,0.146,0.005
11/18/18 1:31,79.4,0.15,0.005
11/18/18 1:31,79.6,0.156,0.005
11/18/18 1:31,79.8,0.155,0.005
11/18/18 1:31,80,0.149,0.005
11/18/18 1:31,80.2,0.146,0.005
11/18/18 1:31,80.4,0.138,0.005
11/18/18 1:31,80.6,0.134,0.005
11/18/18 1:31,80.8,0.131,0.005
11/18/18 1:31,81,0.117,0.005
11/18/18 1:31,81.2,0.122,0.005
11/18/18 1:31,81.4,0.121,0.005
11/18/18 1:31,81.6,0.139,0.005
11/18/18 1:31,81.8,0.131,0.385
11/18/18 1:31,82,0.125,0.005
11/18/18 1:31,82.2,0.12,0.005
11/18/18 1:31,82.4,0.134,0.005
11/18/18 1:31,82.6,0.137,0.005
11/18/18 1:31,82.8,0.141,0.005
11/18/18 1:31,83,0.142,0.005
11/18/18 1:31,83.2,0.14,0.005
11/18/18 1:31,83.4,0.135,0.005
11/18/18 1:31,83.6,0.142,0.005
11/18/18 1:31,83.8,0.146,0.005
11/18/18 1:31,84,0.154,0.005
11/18/18 1:31,84.2,0.146,0.005
11/18/18 1:31,84.4,0.161,0.005
11/18/18 1:31,84.6,0.155,0.005
11/18/18 1:31,84.8,0.155,0.005
11/18/18 1:31,85,0.181,0.005
11/18/18 1:31,85.2,0.181,0.005
11/18/18 1:31,85.4,0.185,0.005
11/18/18 1:31,85.6,0.186,0.004
11/18/18 1:31,85.8,0.176,0.005
11/18/18 1:31,86,0.18,0.005
11/18/18 1:31,86.2,0.176,0.005
11/18/18 1:31,86.4,0.168,0.005
11/18/18 1:31,86.6,0.165,0.005
11/18/18 1:31,86.8,0.166,0.005
11/18/18 1:31,87,0.176,0.005
11/18/18 1:31,87.2,0.165,0.005
